"Flower Pop (Assorted) [50mg]",CC-W-0031,12,,58013,2019-12-29T14:20:09
"Fruity Mellow Rice Treat [75mg]",CC-W-0020,12,,58013,2019-12-29T14:20:09
"Hibiscus Citrus Juice Blend (8oz) [100mg]",PS-W-0009,6,,58013,2019-12-29T14:20:09
"Medical Gummies [15x15mg]",CB-W-0009,24,INDICA,58013,2019-12-29T14:20:09
"Just Apple Juice (8oz) [100mg]",PS-W-0007,6,,58013,2019-12-29T14:20:09
"Just Orange Juice (8oz) [100mg]",PS-W-0006,6,,58013,2019-12-29T14:20:09
"Super Mega Brownie [225mg]",AE-W-0046,12,Sativa,58013,2019-12-29T14:20:09
"Medical Gummies [15x15mg]",CB-W-0009,24,Sativa,58013,2019-12-29T14:20:09
"Super Mega Brownie [225mg]",AE-W-0046,24,INDICA,58012,2019-12-29T12:20:09
"Medical Fudge Brownie [150mg]",AE-W-0048,36,INDICA,58012,2019-12-29T12:20:09
"Brownie Bites [100mg]",AE-W-0060,24,INDICA,58012,2019-12-29T12:20:09
"Super Mega Brownie [225mg]",AE-W-0046,24,Sativa,58012,2019-12-29T12:20:09
"Medical Fudge Brownie [150mg]",AE-W-0048,24,Sativa,58012,2019-12-29T12:20:09
"Medical Gummies [15x15mg] - Indica",CB-W-0009,48,indica,58012,2019-12-29T12:20:09
"Hemp CBD Gummies - MiniPak [6x15mg CBD]",CB-W-0019,12,,58011,2019-12-29T10:44:09
"High CBD Glycerin Tincture (1oz) [400mg]",CH-W-0004,6,,58011,2019-12-29T10:44:09
"High CBD Ointment (2oz) [350mg]",CH-W-0008,12,,58011,2019-12-29T10:44:09
"High CBD Ointment (4oz) [700mg]",CH-W-0007,6,,58011,2019-12-29T10:44:09
"THC Glycerin Tincture (1oz) [400mg]",CH-W-0006,6,INDICA,58011,2019-12-29T10:44:09
"Super Mega Brownie [225mg]",AE-W-0046,36,INDICA,58011,2019-12-29T10:44:09
