"Fruity Mellow Rice Treat [75mg]",CC-W-0020,12,,58057,2020-01-05T22:20:09
"High CBD Glycerin Tincture (1oz) [400mg]",CH-W-0004,6,,58057,2020-01-05T22:20:09
"Super Mega Brownie [225mg]",AE-W-0046,12,INDICA,58057,2020-01-05T22:20:09
"Medical Gummies - MiniPak [6x15mg]",CB-W-0010,12,INDICA,58057,2020-01-05T22:20:09
"Medical Gummies [15x15mg]",CB-W-0009,12,INDICA,58057,2020-01-05T22:20:09
"Medical Fudge Brownie [150mg]",AE-W-0048,24,INDICA,58057,2020-01-05T22:20:09
"Basic Brownie [75mg]",AE-W-0044,24,INDICA,58057,2020-01-05T22:20:09
"Just Apple Juice (8oz) [100mg]",PS-W-0007,6,,58057,2020-01-05T22:20:09
"Prickly Lemonade Juice Blend (8oz) [100mg]",PS-W-0014,6,,58057,2020-01-05T22:20:09
"Medical Gummies - MiniPak [6x15mg]",CB-W-0010,12,Sativa,58057,2020-01-05T22:20:09
"Medical Gummies [15x15mg]",CB-W-0009,12,Sativa,58057,2020-01-05T22:20:09
"Medical Fudge Brownie [150mg]",AE-W-0048,24,Sativa,58057,2020-01-05T22:20:09
"Hibiscus Citrus Juice Blend (8oz) [100mg]",PS-W-0009,6,,58056,2020-01-05T22:00:08
"Medical Gummies - MiniPak [6x15mg]",CB-W-0010,12,INDICA,58056,2020-01-05T22:00:08
"Medical Gummies [15x15mg]",CB-W-0009,12,INDICA,58056,2020-01-05T22:00:08
"Prickly Lemonade Juice Blend (8oz) [100mg]",PS-W-0014,6,,58056,2020-01-05T22:00:08
"Medical Gummies - MiniPak [6x15mg]",CB-W-0010,12,Sativa,58056,2020-01-05T22:00:08
"Medical Gummies [15x15mg]",CB-W-0009,12,Sativa,58056,2020-01-05T22:00:08
"420º Hot Sauce (5oz) [200mg]",CB-W-0013,12,,58055,2020-01-05T13:36:09
"Gluten Free Brownie [100mg]",AE-W-0045,12,,58055,2020-01-05T13:36:09
"High CBD Glycerin Tincture (1/2oz) [200mg]",CH-W-0003,24,,58055,2020-01-05T13:36:09
"High CBD Glycerin Tincture (1oz) [400mg]",CH-W-0004,12,,58055,2020-01-05T13:36:09
"THC Glycerin Tincture (1/2oz) [200mg]",CH-W-0005,24,INDICA,58055,2020-01-05T13:36:09
"Super Mega Brownie [225mg]",AE-W-0046,24,INDICA,58055,2020-01-05T13:36:09
"Medical Gummies [15x15mg]",CB-W-0009,48,INDICA,58055,2020-01-05T13:36:09
"Medical Fudge Brownie [150mg]",AE-W-0048,24,INDICA,58055,2020-01-05T13:36:09
"Basic Brownie [75mg]",AE-W-0044,48,INDICA,58055,2020-01-05T13:36:09
"THC Glycerin Tincture (1oz) [400mg]",CH-W-0006,6,Sativa,58055,2020-01-05T13:36:09
"THC Glycerin Tincture (1/2oz) [200mg]",CH-W-0005,12,Sativa,58055,2020-01-05T13:36:09
"Super Mega Brownie [225mg]",AE-W-0046,12,Sativa,58055,2020-01-05T13:36:09
"Medical Gummies [15x15mg]",CB-W-0009,24,Sativa,58055,2020-01-05T13:36:09
"Medical Fudge Brownie [150mg]",AE-W-0048,36,Sativa,58055,2020-01-05T13:36:09
"Flower Pop (Assorted) [50mg]",CC-W-0031,24,,58054,2020-01-05T12:44:09
"Medical Fudge Brownie [150mg]",AE-W-0048,12,INDICA,58054,2020-01-05T12:44:09
"Basic Brownie [75mg]",AE-W-0044,24,INDICA,58054,2020-01-05T12:44:09
"Medical Fudge Brownie [150mg]",AE-W-0048,12,Sativa,58054,2020-01-05T12:44:09
"Basic Brownie [75mg]",AE-W-0044,24,Sativa,58054,2020-01-05T12:44:09
"Hibiscus Citrus Juice Blend (8oz) [100mg]",PS-W-0009,6,,58053,2020-01-05T10:52:08
"High CBD Glycerin Tincture (1oz) [400mg]",CH-W-0004,6,,58053,2020-01-05T10:52:08
"High CBD Ointment (2oz) [350mg]",CH-W-0008,12,,58053,2020-01-05T10:52:08
"Medical Fudge Brownie [150mg]",AE-W-0048,24,INDICA,58053,2020-01-05T10:52:08
"Daily Dose Brownie [25mg]",AE-W-0085,36,INDICA,58053,2020-01-05T10:52:08
"Basic Brownie [75mg]",AE-W-0044,36,INDICA,58053,2020-01-05T10:52:08
"Just Apple Juice (8oz) [100mg]",PS-W-0007,6,,58053,2020-01-05T10:52:08
"Just Orange Juice (8oz) [100mg]",PS-W-0006,6,,58053,2020-01-05T10:52:08
"Lemon Blondie [100mg]",AE-W-0053,12,,58053,2020-01-05T10:52:08
"Prickly Lemonade Juice Blend (8oz) [100mg]",PS-W-0014,6,,58053,2020-01-05T10:52:08
"Daily Dose Brownie [25mg]",AE-W-0085,12,Sativa,58053,2020-01-05T10:52:08
"Basic Brownie [75mg]",AE-W-0044,24,Sativa,58053,2020-01-05T10:52:08
"Medical Fudge Brownie [150mg]",AE-W-0048,12,INDICA,58052,2020-01-04T20:00:08
"Daily Dose Gummies [2x15mg]",CB-W-0021,24,INDICA,58052,2020-01-04T20:00:08
"Basic Brownie [75mg]",AE-W-0044,36,INDICA,58052,2020-01-04T20:00:08
"Medical Fudge Brownie [150mg]",AE-W-0048,36,Sativa,58052,2020-01-04T20:00:08
"Daily Dose Brownie [25mg]",AE-W-0085,288,Sativa,58052,2020-01-04T20:00:08
"Basic Brownie [75mg]",AE-W-0044,24,Sativa,58052,2020-01-04T20:00:08
"Cocoa Mellow Rice Treat [75mg]",CC-W-0022,12,,58051,2020-01-04T12:44:08
"Daily Dose Cocoa Mellow Rice Treat [25mg]",CC-W-0045,12,,58051,2020-01-04T12:44:08
"Daily Dose Fruity Mellow Rice Treat [25mg]",CC-W-0043,12,,58051,2020-01-04T12:44:08
"Fruity Mellow Rice Treat [75mg]",CC-W-0020,12,,58051,2020-01-04T12:44:08
"Hemp CBD Ointment (1/2oz) [80mg]",CH-W-0029,24,,58051,2020-01-04T12:44:08
"High CBD Glycerin Tincture (1oz) [400mg]",CH-W-0004,6,,58051,2020-01-04T12:44:08
"High CBD Ointment (2oz) [350mg]",CH-W-0008,12,,58051,2020-01-04T12:44:08
"High CBD Ointment (4oz) [700mg]",CH-W-0007,12,,58051,2020-01-04T12:44:08
"THC Glycerin Tincture (1oz) [400mg]",CH-W-0006,6,INDICA,58051,2020-01-04T12:44:08
"THC Glycerin Tincture (1/2oz) [200mg]",CH-W-0005,12,INDICA,58051,2020-01-04T12:44:08
"Daily Dose Gummies [2x15mg]",CB-W-0021,36,INDICA,58051,2020-01-04T12:44:08
"Pain Re-leaf Ointment (2oz) [350mg]",CH-W-0011,12,,58051,2020-01-04T12:44:08
"Pain Re-leaf Ointment (4oz) [700mg]",CH-W-0010,6,,58051,2020-01-04T12:44:08
"Rasta Mellow Rice Treat [75mg]",CC-W-0021,12,,58051,2020-01-04T12:44:08
"Daily Dose Gummies [2x15mg]",CB-W-0021,24,Sativa,58051,2020-01-04T12:44:08
"Daily Dose Cocoa Mellow Rice Treat [25mg]",CC-W-0045,48,,58050,2020-01-04T12:36:08
"Daily Dose Fruity Mellow Rice Treat [25mg]",CC-W-0043,48,,58050,2020-01-04T12:36:08
"Daily Dose Rasta Mellow Rice Treat [25mg]",CC-W-0041,48,,58050,2020-01-04T12:36:08
